nearest_latitude 
      Frequency   Percent Cum Percent
3140          2 5.204e-04   1.000e+02
3310          1 2.602e-04   1.000e+02
3470          1 2.602e-04   1.000e+02
3600          1 2.602e-04   1.000e+02
3640          1 2.602e-04   1.000e+02
3800          1 2.602e-04   1.000e+02
4010          1 2.602e-04   1.000e+02
4720          1 2.602e-04   1.000e+02
4750          1 2.602e-04   1.000e+02
4950          1 2.602e-04   1.000e+02
Total    384343 1.000e+02
